Posicao do objeto Virtual 1: X=0,02455193, Y=-0,05465341, Z=0,7269636
Posicao do objeto 1 Real no Unity: X=-0,07782444, Y=2,300764, Z=3,954548
Posicao do objeto Virtual 1: X=0,025406, Y=-0,05303282, Z=0,7297056
Posicao do objeto 1 Real no Unity: X=-0,1797534, Y=2,291756, Z=3,95544
Posicao do objeto Virtual 1: X=0,02648059, Y=-0,05150712, Z=0,7318668
Posicao do objeto 1 Real no Unity: X=-0,2111174, Y=2,340732, Z=3,926712
Posicao do objeto Virtual 1: X=0,02575612, Y=-0,05127794, Z=0,736974
Posicao do objeto 1 Real no Unity: X=-0,1607747, Y=2,306782, Z=3,969835
Posicao do objeto Virtual 1: X=0,02464661, Y=-0,0520367, Z=0,7429202
Posicao do objeto 1 Real no Unity: X=-0,3464702, Y=2,380181, Z=3,896614
Posicao do objeto Virtual 1: X=0,02522081, Y=-0,05405676, Z=0,7499783
Posicao do objeto 1 Real no Unity: X=-0,299328, Y=2,334189, Z=3,949479
Posicao do objeto Virtual 1: X=0,02427894, Y=-0,055098, Z=0,7552874
Posicao do objeto 1 Real no Unity: X=-0,3118892, Y=2,369855, Z=3,94675
Posicao do objeto Virtual 1: X=0,02291274, Y=-0,05630577, Z=0,7682871
Posicao do objeto 1 Real no Unity: X=-0,2557037, Y=2,351575, Z=3,992034
Posicao do objeto Virtual 1: X=0,01988533, Y=-0,05683261, Z=0,7787365
Posicao do objeto 1 Real no Unity: X=-0,1257879, Y=2,253741, Z=4,069381
Posicao do objeto Virtual 1: X=0,01369169, Y=-0,06110078, Z=0,7761567
Posicao do objeto 1 Real no Unity: X=0,05325577, Y=2,109503, Z=4,183733
Posicao do objeto Virtual 1: X=0,01208168, Y=-0,06125009, Z=0,7795987
Posicao do objeto 1 Real no Unity: X=-0,0510174, Y=2,264237, Z=4,10354
Posicao do objeto Virtual 1: X=0,01219103, Y=-0,06373143, Z=0,7941658
Posicao do objeto 1 Real no Unity: X=-0,2407297, Y=2,420198, Z=3,989365
Posicao do objeto Virtual 1: X=0,01340169, Y=-0,06584895, Z=0,8065903
Posicao do objeto 1 Real no Unity: X=-0,336902, Y=2,406864, Z=3,979598
Posicao do objeto Virtual 1: X=0,0136348, Y=-0,06654465, Z=0,8055792
Posicao do objeto 1 Real no Unity: X=-0,2826567, Y=2,360733, Z=4,049438
Posicao do objeto Virtual 1: X=0,01228237, Y=-0,06499571, Z=0,8166273
Posicao do objeto 1 Real no Unity: X=-0,1911525, Y=2,328174, Z=4,093228
Posicao do objeto Virtual 1: X=0,01165059, Y=-0,06583351, Z=0,819762
Posicao do objeto 1 Real no Unity: X=0,02333304, Y=2,221429, Z=4,214338
Posicao do objeto Virtual 1: X=0,01149499, Y=-0,06563759, Z=0,8323978
Posicao do objeto 1 Real no Unity: X=-0,006238043, Y=2,19343, Z=4,231494
Posicao do objeto Virtual 1: X=0,01059809, Y=-0,06517899, Z=0,8325959
Posicao do objeto 1 Real no Unity: X=-0,07411921, Y=2,266084, Z=4,199501
Posicao do objeto Virtual 1: X=0,009182662, Y=-0,0653342, Z=0,8430339
Posicao do objeto 1 Real no Unity: X=-0,164281, Y=2,349286, Z=4,1388
Posicao do objeto Virtual 1: X=0,007713437, Y=-0,06595981, Z=0,8469607
Posicao do objeto 1 Real no Unity: X=-0,1830055, Y=2,368339, Z=4,130081
Posicao do objeto Virtual 1: X=0,006702989, Y=-0,06604582, Z=0,8506384
Posicao do objeto 1 Real no Unity: X=-0,175526, Y=2,362576, Z=4,140686
Posicao do objeto Virtual 1: X=0,005496293, Y=-0,06592876, Z=0,8531418
Posicao do objeto 1 Real no Unity: X=-0,3293105, Y=2,403166, Z=4,099155
Posicao do objeto Virtual 1: X=0,008410573, Y=-0,06521547, Z=0,8590381
Posicao do objeto 1 Real no Unity: X=-0,3691568, Y=2,415903, Z=4,086257
Posicao do objeto Virtual 1: X=0,004938215, Y=-0,06629938, Z=0,8619196
Posicao do objeto 1 Real no Unity: X=-0,2983698, Y=2,468915, Z=4,083153
Posicao do objeto Virtual 1: X=0,00217396, Y=-0,06770062, Z=0,8742611
Posicao do objeto 1 Real no Unity: X=-0,4447337, Y=2,495944, Z=4,017246
Posicao do objeto Virtual 1: X=0,002620071, Y=-0,06751537, Z=0,8678045
Posicao do objeto 1 Real no Unity: X=-0,4097804, Y=2,463958, Z=4,0808
Posicao do objeto Virtual 1: X=0,004035592, Y=-0,06608313, Z=0,8809251
Posicao do objeto 1 Real no Unity: X=-0,4358098, Y=2,571619, Z=4,016214
Posicao do objeto Virtual 1: X=0,002618551, Y=-0,06583154, Z=0,8947661
Posicao do objeto 1 Real no Unity: X=-0,3921714, Y=2,558147, Z=4,049034
Posicao do objeto Virtual 1: X=0,0009882152, Y=-0,06565243, Z=0,8997388
Posicao do objeto 1 Real no Unity: X=-0,4842657, Y=2,576532, Z=4,020817
Posicao do objeto Virtual 1: X=-0,0000481009, Y=-0,06634444, Z=0,9043958
Posicao do objeto 1 Real no Unity: X=-0,5109859, Y=2,483108, Z=4,090823
Posicao do objeto Virtual 1: X=-0,001364827, Y=-0,06758457, Z=0,9052364
Posicao do objeto 1 Real no Unity: X=-0,4958412, Y=2,519038, Z=4,071934
Posicao do objeto Virtual 1: X=-0,003308594, Y=-0,07201201, Z=0,9104412
Posicao do objeto 1 Real no Unity: X=-0,4951772, Y=2,514787, Z=4,076067
Posicao do objeto Virtual 1: X=-0,0049932, Y=-0,07669902, Z=0,913533
Posicao do objeto 1 Real no Unity: X=-0,5149048, Y=2,579925, Z=4,03588
Posicao do objeto Virtual 1: X=-0,005630732, Y=-0,08160597, Z=0,9260577
Posicao do objeto 1 Real no Unity: X=-0,4723417, Y=2,559498, Z=4,071705
Posicao do objeto Virtual 1: X=-0,005535781, Y=-0,08649957, Z=0,9328556
Posicao do objeto 1 Real no Unity: X=-0,6225434, Y=2,676958, Z=3,92859
Posicao do objeto Virtual 1: X=-0,004081786, Y=-0,09134674, Z=0,9394205
Posicao do objeto 1 Real no Unity: X=-0,5077062, Y=2,629769, Z=4,029743
Posicao do objeto Virtual 1: X=-0,003546923, Y=-0,09462488, Z=0,9525253
Posicao do objeto 1 Real no Unity: X=-0,443682, Y=2,590961, Z=4,084491
Posicao do objeto Virtual 1: X=-0,002737671, Y=-0,09943539, Z=0,9577134
Posicao do objeto 1 Real no Unity: X=-0,3091255, Y=2,597125, Z=4,137987
Posicao do objeto Virtual 1: X=-0,002136916, Y=-0,1043062, Z=0,9753895
Posicao do objeto 1 Real no Unity: X=-0,2332229, Y=2,632367, Z=4,129392
Posicao do objeto Virtual 1: X=-0,0002456009, Y=-0,1092807, Z=0,9841652
Posicao do objeto 1 Real no Unity: X=-0,1377111, Y=2,554963, Z=4,215227
Posicao do objeto Virtual 1: X=0,004396886, Y=-0,1135678, Z=0,98964
Posicao do objeto 1 Real no Unity: X=-0,1684302, Y=2,575214, Z=4,206935
Posicao do objeto Virtual 1: X=0,007135659, Y=-0,1148791, Z=0,99701
Posicao do objeto 1 Real no Unity: X=-0,4972628, Y=2,713093, Z=4,01441
Posicao do objeto Virtual 1: X=0,009902239, Y=-0,1151063, Z=0,9980828
Posicao do objeto 1 Real no Unity: X=-0,4771345, Y=2,619804, Z=4,112142
Posicao do objeto Virtual 1: X=0,01092556, Y=-0,1130155, Z=0,9986165
Posicao do objeto 1 Real no Unity: X=-0,606415, Y=2,653114, Z=4,045137
