Posicao do objeto Real no Unity: X=-1,500494, Y=2,230718, Z=1,914773
Posicao do objeto Virtual: X=0,03672296, Y=-0,07970548, Z=0,3961381
Posicao do objeto Real no Unity: X=-1,375884, Y=2,176758, Z=2,14408
Posicao do objeto Virtual: X=0,0365606, Y=-0,07802355, Z=0,3937034
Posicao do objeto Real no Unity: X=-1,403473, Y=2,170018, Z=2,114382
Posicao do objeto Virtual: X=0,03832465, Y=-0,07870084, Z=0,3916155
Posicao do objeto Real no Unity: X=-1,368691, Y=2,15625, Z=2,166116
Posicao do objeto Virtual: X=0,0400632, Y=-0,08038831, Z=0,3928145
Posicao do objeto Real no Unity: X=-1,373836, Y=2,169762, Z=2,137034
Posicao do objeto Virtual: X=0,04098248, Y=-0,08205611, Z=0,3931625
Posicao do objeto Real no Unity: X=-1,443551, Y=2,211865, Z=1,994009
Posicao do objeto Virtual: X=0,04120338, Y=-0,08326131, Z=0,3944768
Posicao do objeto Real no Unity: X=-1,440643, Y=2,217234, Z=1,997223
Posicao do objeto Virtual: X=0,04117268, Y=-0,08127028, Z=0,3953472
Posicao do objeto Real no Unity: X=-1,411326, Y=2,173173, Z=2,093397
Posicao do objeto Virtual: X=0,04142612, Y=-0,07958555, Z=0,3913802
Posicao do objeto Real no Unity: X=-1,49686, Y=2,199894, Z=1,945783
Posicao do objeto Virtual: X=0,04254681, Y=-0,08020008, Z=0,3917102
Posicao do objeto Real no Unity: X=-1,471792, Y=2,192915, Z=1,98838
Posicao do objeto Virtual: X=0,04362208, Y=-0,08001429, Z=0,3917168
Posicao do objeto Real no Unity: X=-1,540113, Y=2,199331, Z=1,882073
Posicao do objeto Virtual: X=0,04503381, Y=-0,07991761, Z=0,3911941
Posicao do objeto Real no Unity: X=-1,429401, Y=2,182078, Z=2,059777
Posicao do objeto Virtual: X=0,0436902, Y=-0,07751173, Z=0,3907603
Posicao do objeto Real no Unity: X=-1,390108, Y=2,1616, Z=2,130711
Posicao do objeto Virtual: X=0,04345101, Y=-0,076922, Z=0,3888901
Posicao do objeto Real no Unity: X=-1,436371, Y=2,171337, Z=2,059033
Posicao do objeto Virtual: X=0,04378378, Y=-0,07661462, Z=0,3862441
Posicao do objeto Real no Unity: X=-1,427274, Y=2,166614, Z=2,074481
Posicao do objeto Virtual: X=0,04465592, Y=-0,07681906, Z=0,3861473
Posicao do objeto Real no Unity: X=-1,348079, Y=2,139449, Z=2,194513
Posicao do objeto Virtual: X=0,04500133, Y=-0,0766561, Z=0,385536
Posicao do objeto Real no Unity: X=-1,37326, Y=2,143909, Z=2,161345
Posicao do objeto Virtual: X=0,04536366, Y=-0,07674146, Z=0,3851337
Posicao do objeto Real no Unity: X=-1,406608, Y=2,190044, Z=2,071826
Posicao do objeto Virtual: X=0,04439336, Y=-0,07660419, Z=0,3887709
Posicao do objeto Real no Unity: X=-1,487687, Y=2,204551, Z=1,952348
Posicao do objeto Virtual: X=0,04156923, Y=-0,07638133, Z=0,3871729
Posicao do objeto Real no Unity: X=-1,478688, Y=2,215039, Z=1,956537
Posicao do objeto Virtual: X=0,03704655, Y=-0,07623899, Z=0,3876702
Posicao do objeto Real no Unity: X=-1,422066, Y=2,240149, Z=2,006751
Posicao do objeto Virtual: X=0,03115803, Y=-0,07615364, Z=0,3914161
Posicao do objeto Real no Unity: X=-1,372045, Y=2,230481, Z=2,090399
Posicao do objeto Virtual: X=0,02629322, Y=-0,07581818, Z=0,3925204
Posicao do objeto Real no Unity: X=-1,343828, Y=2,240835, Z=2,12104
Posicao do objeto Virtual: X=0,02080041, Y=-0,07539171, Z=0,3951612
Posicao do objeto Real no Unity: X=-1,322923, Y=2,250053, Z=2,144256
Posicao do objeto Virtual: X=0,01519972, Y=-0,07531148, Z=0,3979594
Posicao do objeto Real no Unity: X=-1,327232, Y=2,253411, Z=2,150052
Posicao do objeto Virtual: X=0,009409428, Y=-0,07547623, Z=0,4003881
Posicao do objeto Real no Unity: X=-1,742056, Y=2,198341, Z=0,4404982
Posicao do objeto Virtual: X=0,06770775, Y=-0,001167774, Z=0,5737318
Posicao do objeto Real no Unity: X=-1,629207, Y=2,279129, Z=0,4778307
Posicao do objeto Virtual: X=0,05164149, Y=-0,007271171, Z=0,5323438
Posicao do objeto Real no Unity: X=-1,63055, Y=2,282993, Z=0,4526593
Posicao do objeto Virtual: X=0,03650051, Y=-0,01514065, Z=0,4897091
Posicao do objeto Real no Unity: X=-1,838797, Y=2,073563, Z=0,2049482
Posicao do objeto Virtual: X=0,0185051, Y=-0,02866054, Z=0,4476824
Posicao do objeto Real no Unity: X=-1,901574, Y=1,825127, Z=0,009348661
Posicao do objeto Virtual: X=0,02107328, Y=-0,01436496, Z=0,4155334
Posicao do objeto Real no Unity: X=-1,937766, Y=1,538803, Z=-0,1249335
Posicao do objeto Virtual: X=0,05020726, Y=0,01543188, Z=0,5794224
Posicao do objeto Real no Unity: X=-1,930187, Y=1,514609, Z=-0,1907956
Posicao do objeto Virtual: X=0,04703981, Y=0,01358747, Z=0,5899039
Posicao do objeto Real no Unity: X=-1,88033, Y=1,876283, Z=0,06898032
Posicao do objeto Virtual: X=0,04797477, Y=0,00239861, Z=0,5720824
Posicao do objeto Real no Unity: X=-1,887372, Y=1,914665, Z=0,1145055
Posicao do objeto Virtual: X=0,04537386, Y=-0,00225246, Z=0,5539714
Posicao do objeto Real no Unity: X=-1,947201, Y=1,592919, Z=-0,1347284
Posicao do objeto Virtual: X=0,03885996, Y=0,006727099, Z=0,5370588
Posicao do objeto Real no Unity: X=-1,910425, Y=1,86881, Z=0,08989105
Posicao do objeto Virtual: X=0,04364949, Y=-0,001956582, Z=0,543784
Posicao do objeto Real no Unity: X=-1,878823, Y=1,9232, Z=0,1248955
Posicao do objeto Virtual: X=0,04396474, Y=-0,002393842, Z=0,5500407
Posicao do objeto Real no Unity: X=-1,916808, Y=1,601604, Z=-0,1317033
Posicao do objeto Virtual: X=0,04014385, Y=0,009954929, Z=0,5527081
Posicao do objeto Real no Unity: X=-1,898659, Y=1,608307, Z=-0,1368971
Posicao do objeto Virtual: X=0,04061574, Y=0,0113796, Z=0,5616271
Posicao do objeto Real no Unity: X=-1,837669, Y=1,90452, Z=0,08957599
Posicao do objeto Virtual: X=0,04715753, Y=0,004708886, Z=0,5779261
